id,text,topic,sentiment,urgency,routing
1323,A colleague undermines me in front of patients. urgent,coworker_conflict,negative,medium,UnitManager
1449,Team handled a tough code with excellent professionalism—kudos. appreciate,professionalism,positive,low,UnitManager
534,The IV pump failed calibration mid-infusion. won't,equipment,negative,medium,UnitManager
1361,Comments were made about my background that felt discriminatory. unpaid,discrimination,negative,high,HR
977,I'm exhausted and dreading coming in again. concerned,burnout,negative,medium,UnitManager
209,My W-2 has an error with my address. works well,pay,positive,low,Payroll
1285,We can't agree on who handles admissions.,coworker_conflict,neutral,medium,UnitManager
1167,We didn't get the update about the new triage flow. problem,communication,negative,medium,UnitManager
1090,Nobody told us the clinic was closing early.,communication,positive,low,UnitManager
1302,A coworker keeps taking my assigned patients without asking. frustrated,coworker_conflict,negative,medium,UnitManager
827,Census is up and we don't have float support. worried,patient_load,negative,medium,UnitManager
583,Could we get hands-on time with the new EHR features? improved,training,positive,low,HR
1631,New on-call policy describes how weekends are assigned.,policies,neutral,low,HR
856,I had 7 patients on days including two total cares. worried,patient_load,negative,medium,UnitManager
1033,Someone spread rumors and made me feel unsafe at work. missing,harassment,negative,high,HR
1581,Parking is chaotic during shift change. broke,other,negative,low,UnitManager
1216,Charge nurse raised their voice at me during rounds.,supervisor_behavior,neutral,medium,HR
708,The PPE reuse rule changed but we haven't seen the updated policy.,policies,neutral,low,HR
274,The director canceled our huddle without telling the unit. broken,management,negative,medium,HR
574,We need refreshers for contrast allergy protocols. kudos,training,positive,low,HR
72,Charge nurse floated again due to lack of coverage. worried,staffing,negative,low,UnitManager
1028,A patient's family member keeps sending threatening messages. unsafe,harassment,negative,high,HR
336,The director canceled our huddle without telling the unit. appreciate,management,positive,low,HR
982,Morale is low; people are talking about leaving. issue,burnout,negative,medium,UnitManager
1005,Someone spread rumors and made me feel unsafe at work. didn't work,harassment,negative,high,HR
1568,Parking is chaotic during shift change.,other,neutral,low,UnitManager
477,The IV pump failed calibration mid-infusion.,equipment,negative,medium,UnitManager
652,Visitation rules were updated; please provide the latest version. resolved,policies,positive,low,HR
926,I'm exhausted and dreading coming in again.,burnout,negative,medium,UnitManager
989,I'm overwhelmed even after the shift ends. late,burnout,negative,medium,UnitManager
1435,I believe I received fewer training opportunities due to bias.,discrimination,negative,high,HR
1069,A patient's family member keeps sending threatening messages. issue,harassment,negative,high,HR
151,I was put on back-to-back nights and days unexpectedly.,scheduling,neutral,medium,Scheduling
803,The charting steps doubled after the update; forms feel redundant.,workflow,neutral,low,UnitManager
1002,A patient's family member keeps sending threatening messages. won't,harassment,negative,high,HR
1451,Team handled a tough code with excellent professionalism—kudos.,professionalism,positive,low,UnitManager
1354,Comments were made about my background that felt discriminatory. again,discrimination,negative,high,HR
1507,Rounds were efficient and respectful today. pleased,professionalism,positive,low,UnitManager
83,Overtime requests keep coming because the roster is thin. pleased,staffing,positive,low,UnitManager
363,Panic button didn't work during an incident with a combative visitor. worried,safety,negative,high,Safety
390,Sharps were left unattended in the triage bay. angry,safety,negative,high,Safety
451,The lift is out of service again and the sign-in sheet is full. urgent,equipment,negative,medium,UnitManager
1009,Someone spread rumors and made me feel unsafe at work. won't,harassment,negative,high,HR
1508,Rounds were efficient and respectful today. resolved,professionalism,positive,low,UnitManager
1530,The float nurse showed great teamwork and communication. went smoothly,professionalism,positive,low,UnitManager
63,We were short two CNAs on nights and I had to cover extra rooms.,staffing,neutral,low,UnitManager
764,The charting steps doubled after the update; forms feel redundant. won't,workflow,negative,medium,UnitManager
1655,Things felt broken in our process today but no device failed.,workflow,neutral,low,UnitManager
829,Assignments are uneven; my side had all new admissions. concerned,patient_load,negative,medium,UnitManager
208,Overtime rate looks incorrect on this pay period. much better,pay,positive,low,Payroll
525,The portable monitor battery won't hold a charge. concerned,equipment,negative,medium,UnitManager
1409,I believe I received fewer training opportunities due to bias.,discrimination,negative,high,HR
67,Charge nurse floated again due to lack of coverage.,staffing,neutral,low,UnitManager
168,I can't swap my Friday even though policy says I can request. missing,scheduling,negative,medium,Scheduling
1241,Charge nurse raised their voice at me during rounds.,supervisor_behavior,negative,medium,HR
881,I had 7 patients on days including two total cares. missing,patient_load,negative,medium,UnitManager
371,Panic button didn't work during an incident with a combative visitor.,safety,neutral,high,Safety
1384,I'm being treated differently because of my religion. annoyed,discrimination,negative,high,HR
6,We were short two CNAs on nights and I had to cover extra rooms. kudos,staffing,positive,low,UnitManager
1612,Break room microwave is broken again.,other,neutral,low,UnitManager
1439,I believe I received fewer training opportunities due to bias. won't,discrimination,negative,high,HR
1672,Break room fridge needs cleaning again.,other,neutral,low,UnitManager
1572,Break room microwave is broken again. went smoothly,other,positive,low,UnitManager
1058,A visitor made repeated inappropriate comments to me. concerned,harassment,negative,high,HR
1470,The float nurse showed great teamwork and communication. appreciate,professionalism,positive,low,UnitManager
653,"Per policy, we're supposed to double-check insulin with a second nurse.",policies,neutral,low,HR
681,The PPE reuse rule changed but we haven't seen the updated policy. resolved,policies,positive,low,HR
1257,Supervisor plays favorites on shift assignments.,supervisor_behavior,neutral,medium,HR
1448,The float nurse showed great teamwork and communication. improved,professionalism,positive,low,UnitManager
150,I can't swap my Friday even though policy says I can request. went smoothly,scheduling,positive,low,Scheduling
1333,A colleague undermines me in front of patients.,coworker_conflict,neutral,medium,UnitManager
1119,No one replied on the group thread about supplies. can't,communication,negative,medium,UnitManager
1074,A visitor made repeated inappropriate comments to me. won't,harassment,negative,high,HR
649,Visitation rules were updated; please provide the latest version.,policies,neutral,low,HR
309,The director canceled our huddle without telling the unit.,management,neutral,medium,HR
402,Panic button didn't work during an incident with a combative visitor.,safety,neutral,high,Safety
1373,I'm being treated differently because of my religion. won't,discrimination,negative,high,HR
692,New float policy says we can refuse unsafe assignments. unpaid,policies,negative,medium,HR
315,The director canceled our huddle without telling the unit. unpaid,management,negative,medium,HR
607,We need refreshers for contrast allergy protocols. works well,training,positive,low,HR
1410,Comments were made about my background that felt discriminatory. didn't work,discrimination,negative,high,HR
978,Morale is low; people are talking about leaving.,burnout,negative,medium,UnitManager
1404,I was passed over for an assignment due to my accent. late,discrimination,negative,high,HR
1243,My supervisor ignored the incident report I filed. broke,supervisor_behavior,negative,medium,HR
375,We called a code gray; security took too long to arrive. won't,safety,negative,high,Safety
738,The discharge checklist is too long and duplicates the summary. urgent,workflow,negative,medium,UnitManager
1429,I was passed over for an assignment due to my accent. late,discrimination,negative,high,HR
426,We called a code gray; security took too long to arrive. frustrated,safety,negative,high,Safety
1534,Parking is chaotic during shift change. issue,other,negative,low,UnitManager
1396,I'm being treated differently because of my religion. issue,discrimination,negative,high,HR
815,My pod keeps getting high acuity without help.,patient_load,negative,medium,UnitManager
823,I had 7 patients on days including two total cares. worried,patient_load,negative,medium,UnitManager
1611,My badge reader works only on the second try. works well,other,positive,low,UnitManager
952,Morale is low; people are talking about leaving. angry,burnout,negative,medium,UnitManager
497,The IV pump failed calibration mid-infusion. broke,equipment,negative,medium,UnitManager
768,The charting steps doubled after the update; forms feel redundant. unpaid,workflow,negative,medium,UnitManager
145,I was put on back-to-back nights and days unexpectedly.,scheduling,positive,low,Scheduling
1504,The float nurse showed great teamwork and communication. great support,professionalism,positive,low,UnitManager
890,Assignments are uneven; my side had all new admissions. didn't work,patient_load,negative,medium,UnitManager
1520,Rounds were efficient and respectful today. much better,professionalism,positive,low,UnitManager
990,Morale is low; people are talking about leaving. problem,burnout,negative,medium,UnitManager
991,I was harassed by a coworker in the break room.,harassment,negative,high,HR
1034,A patient's family member keeps sending threatening messages. won't,harassment,negative,high,HR
292,The director canceled our huddle without telling the unit. improved,management,positive,low,HR
1136,The shift report missed critical details again.,communication,neutral,low,UnitManager
380,We called a code gray; security took too long to arrive. broken,safety,negative,high,Safety
1193,Charge nurse raised their voice at me during rounds.,supervisor_behavior,neutral,medium,HR
696,Visitation rules were updated; please provide the latest version. resolved,policies,positive,low,HR
188,Direct deposit didn't hit this morning. resolved,pay,positive,low,Payroll
23,Overtime requests keep coming because the roster is thin.,staffing,neutral,low,UnitManager
1586,Break room microwave is broken again. frustrated,other,negative,low,UnitManager
1293,A colleague undermines me in front of patients.,coworker_conflict,neutral,medium,UnitManager
125,My shift was moved without notice on the schedule.,scheduling,positive,low,Scheduling
1376,I was passed over for an assignment due to my accent. broken,discrimination,negative,high,HR
1240,Supervisor plays favorites on shift assignments. late,supervisor_behavior,negative,medium,HR
1164,The shift report missed critical details again. unsafe,communication,negative,medium,UnitManager
1353,I'm being treated differently because of my religion.,discrimination,negative,high,HR
25,Overtime requests keep coming because the roster is thin. resolved,staffing,positive,low,UnitManager
560,I'd like more training on the new wound vac device. pleased,training,positive,low,HR
760,The charting steps doubled after the update; forms feel redundant. issue,workflow,negative,medium,UnitManager
1601,My badge reader works only on the second try.,other,neutral,low,UnitManager
1290,A coworker keeps taking my assigned patients without asking. thank you,coworker_conflict,positive,low,UnitManager
361,Panic button didn't work during an incident with a combative visitor. annoyed,safety,negative,high,Safety
59,New hires keep dropping; staffing remains tight on weekends. missing,staffing,negative,low,UnitManager
819,Assignments are uneven; my side had all new admissions. missing,patient_load,negative,medium,UnitManager
638,Visitation rules were updated; please provide the latest version. kudos,policies,positive,low,HR
814,Census is up and we don't have float support. issue,patient_load,negative,medium,UnitManager
1359,I was passed over for an assignment due to my accent. broke,discrimination,negative,high,HR
1546,Break room microwave is broken again.,other,neutral,low,UnitManager
296,Management announced changes during lunch with no Q&A.,management,neutral,medium,HR
518,The IV pump failed calibration mid-infusion. can't,equipment,negative,medium,UnitManager
1212,Supervisor plays favorites on shift assignments. appreciate,supervisor_behavior,positive,low,HR
606,The LMS module on sepsis screening was actually helpful—thank you. improved,training,positive,low,HR
837,My pod keeps getting high acuity without help. unsafe,patient_load,negative,medium,UnitManager
1602,The vending machines keep eating our money. went smoothly,other,positive,low,UnitManager
1162,The shift report missed critical details again. missing,communication,negative,medium,UnitManager
687,"Per policy, we're supposed to double-check insulin with a second nurse.",policies,positive,low,HR
695,Visitation rules were updated; please provide the latest version. won't,policies,negative,medium,HR
713,New float policy says we can refuse unsafe assignments. improved,policies,positive,low,HR
1697,The timecard tool is confusing to submit approvals.,workflow,negative,medium,UnitManager
1006,A patient's family member keeps sending threatening messages. broken,harassment,negative,high,HR
1155,Nobody told us the clinic was closing early. appreciate,communication,positive,low,UnitManager
1042,A patient's family member keeps sending threatening messages. urgent,harassment,negative,high,HR
624,Could we get hands-on time with the new EHR features? resolved,training,positive,low,HR
957,I can't keep skipping breaks—this is burning me out.,burnout,negative,medium,UnitManager
505,The lift is out of service again and the sign-in sheet is full. unsafe,equipment,negative,medium,UnitManager
486,The lift is out of service again and the sign-in sheet is full.,equipment,negative,medium,UnitManager
333,Leadership keeps changing the rollout with no explanation. unsafe,management,negative,medium,HR
504,One glucometer keeps throwing an error code 3. annoyed,equipment,negative,medium,UnitManager
1218,Charge nurse raised their voice at me during rounds. missing,supervisor_behavior,negative,medium,HR
1710,The IV pump was broken mid-infusion and alarmed repeatedly.,equipment,neutral,low,UnitManager
809,The charting steps doubled after the update; forms feel redundant. missing,workflow,negative,medium,UnitManager
999,A patient's family member keeps sending threatening messages. issue,harassment,negative,high,HR
448,Oxygen alarm failed and no one was alerted. issue,safety,negative,high,Safety
368,We called a code gray; security took too long to arrive. unsafe,safety,negative,high,Safety
500,The lift is out of service again and the sign-in sheet is full. unpaid,equipment,negative,medium,UnitManager
1362,Comments were made about my background that felt discriminatory. again,discrimination,negative,high,HR
1019,A patient's family member keeps sending threatening messages. didn't work,harassment,negative,high,HR
831,Assignments are uneven; my side had all new admissions. angry,patient_load,negative,medium,UnitManager
1512,The float nurse showed great teamwork and communication. pleased,professionalism,positive,low,UnitManager
1346,A coworker keeps taking my assigned patients without asking. broken,coworker_conflict,negative,medium,UnitManager
398,Panic button didn't work during an incident with a combative visitor. issue,safety,negative,high,Safety
748,The charting steps doubled after the update; forms feel redundant.,workflow,negative,medium,UnitManager
1381,I was passed over for an assignment due to my accent. concerned,discrimination,negative,high,HR
213,My W-2 has an error with my address.,pay,neutral,medium,Payroll
266,Overtime rate looks incorrect on this pay period.,pay,neutral,medium,Payroll
1389,I was passed over for an assignment due to my accent. late,discrimination,negative,high,HR
889,Assignments are uneven; my side had all new admissions.,patient_load,negative,medium,UnitManager
647,New float policy says we can refuse unsafe assignments.,policies,neutral,low,HR
629,I'd like more training on the new wound vac device. went smoothly,training,positive,low,HR
203,Direct deposit didn't hit this morning. concerned,pay,negative,medium,Payroll
1585,My badge reader works only on the second try.,other,neutral,low,UnitManager
1494,The float nurse showed great teamwork and communication.,professionalism,neutral,low,UnitManager
1125,No one replied on the group thread about supplies.,communication,neutral,low,UnitManager
740,The handoff template is missing fields we actually use. broken,workflow,negative,medium,UnitManager
626,Could we get hands-on time with the new EHR features? great support,training,positive,low,HR
700,Visitation rules were updated; please provide the latest version. improved,policies,positive,low,HR
1649,New on-call policy describes how weekends are assigned.,policies,neutral,low,HR
1268,There was an argument in the med room that disrupted care. broken,coworker_conflict,negative,medium,UnitManager
1278,We can't agree on who handles admissions. works well,coworker_conflict,positive,low,UnitManager
1641,Bar-code scanning adds steps to med pass.,workflow,neutral,low,UnitManager
597,I'd like more training on the new wound vac device.,training,neutral,low,HR
1526,Rounds were efficient and respectful today. pleased,professionalism,positive,low,UnitManager
855,My pod keeps getting high acuity without help. worried,patient_load,negative,medium,UnitManager
1493,Team handled a tough code with excellent professionalism—kudos.,professionalism,neutral,low,UnitManager
465,The IV pump failed calibration mid-infusion. broke,equipment,negative,medium,UnitManager
1311,A coworker keeps taking my assigned patients without asking.,coworker_conflict,neutral,medium,UnitManager
1098,No one replied on the group thread about supplies. appreciate,communication,positive,low,UnitManager
449,We called a code gray; security took too long to arrive. late,safety,negative,high,Safety
965,Morale is low; people are talking about leaving. again,burnout,negative,medium,UnitManager
1171,My supervisor dismissed my concerns in front of the team.,supervisor_behavior,neutral,medium,HR
1594,Break room microwave is broken again.,other,positive,low,UnitManager
1126,We didn't get the update about the new triage flow.,communication,neutral,low,UnitManager
1084,Nobody told us the clinic was closing early. issue,communication,negative,medium,UnitManager
273,Leadership keeps changing the rollout with no explanation. worried,management,negative,medium,HR
697,New float policy says we can refuse unsafe assignments. pleased,policies,positive,low,HR
774,The discharge checklist is too long and duplicates the summary. problem,workflow,negative,medium,UnitManager
679,Visitation rules were updated; please provide the latest version.,policies,negative,medium,HR
384,Panic button didn't work during an incident with a combative visitor. problem,safety,negative,high,Safety
773,The discharge checklist is too long and duplicates the summary. urgent,workflow,negative,medium,UnitManager
319,Leadership keeps changing the rollout with no explanation.,management,neutral,medium,HR
1015,A patient's family member keeps sending threatening messages.,harassment,neutral,high,HR
1238,Supervisor plays favorites on shift assignments.,supervisor_behavior,neutral,medium,HR
1584,My badge reader works only on the second try. broke,other,negative,low,UnitManager
9,Charge nurse floated again due to lack of coverage. improved,staffing,positive,low,UnitManager
1237,Charge nurse raised their voice at me during rounds. went smoothly,supervisor_behavior,positive,low,HR
1130,We didn't get the update about the new triage flow. great support,communication,positive,low,UnitManager
216,My paycheck is missing my weekend differential. angry,pay,negative,medium,Payroll
1014,A visitor made repeated inappropriate comments to me. unsafe,harassment,negative,high,HR
1634,The clinic was quiet today and nothing unusual happened.,other,neutral,low,UnitManager
1217,My supervisor dismissed my concerns in front of the team.,supervisor_behavior,neutral,medium,HR
996,A patient's family member keeps sending threatening messages. worried,harassment,negative,high,HR
388,Panic button didn't work during an incident with a combative visitor. broke,safety,negative,high,Safety
656,New float policy says we can refuse unsafe assignments. thank you,policies,positive,low,HR
154,I can't swap my Friday even though policy says I can request.,scheduling,positive,low,Scheduling
937,I'm exhausted and dreading coming in again.,burnout,negative,medium,UnitManager
489,The portable monitor battery won't hold a charge.,equipment,negative,medium,UnitManager
1270,A coworker keeps taking my assigned patients without asking. broke,coworker_conflict,negative,medium,UnitManager
165,I can't swap my Friday even though policy says I can request. concerned,scheduling,negative,medium,Scheduling
747,The handoff template is missing fields we actually use. annoyed,workflow,negative,medium,UnitManager
860,Assignments are uneven; my side had all new admissions.,patient_load,negative,medium,UnitManager
968,I'm overwhelmed even after the shift ends. issue,burnout,negative,medium,UnitManager
1165,We didn't get the update about the new triage flow.,communication,negative,medium,UnitManager
493,The lift is out of service again and the sign-in sheet is full. won't,equipment,negative,medium,UnitManager
1652,The clinic was quiet today and nothing unusual happened.,other,neutral,low,UnitManager
655,New float policy says we can refuse unsafe assignments. pleased,policies,positive,low,HR
940,Morale is low; people are talking about leaving.,burnout,negative,medium,UnitManager
495,One glucometer keeps throwing an error code 3. unsafe,equipment,negative,medium,UnitManager
1133,Nobody told us the clinic was closing early. resolved,communication,positive,low,UnitManager
1301,A coworker keeps taking my assigned patients without asking. pleased,coworker_conflict,positive,low,UnitManager
1201,Supervisor plays favorites on shift assignments. late,supervisor_behavior,negative,medium,HR
732,The discharge checklist is too long and duplicates the summary.,workflow,negative,medium,UnitManager
559,I'd like more training on the new wound vac device. works well,training,positive,low,HR
1342,A colleague undermines me in front of patients. pleased,coworker_conflict,positive,low,UnitManager
1176,Charge nurse raised their voice at me during rounds. resolved,supervisor_behavior,positive,low,HR
1619,The vending machines keep eating our money. pleased,other,positive,low,UnitManager
775,The discharge checklist is too long and duplicates the summary.,workflow,negative,medium,UnitManager
222,My W-2 has an error with my address.,pay,neutral,medium,Payroll
1345,We can't agree on who handles admissions. annoyed,coworker_conflict,negative,medium,UnitManager
1580,The vending machines keep eating our money.,other,neutral,low,UnitManager
297,Leadership wants us to double chart temporarily. much better,management,positive,low,HR
437,Panic button didn't work during an incident with a combative visitor.,safety,neutral,high,Safety
207,Direct deposit didn't hit this morning. went smoothly,pay,positive,low,Payroll
1,New hires keep dropping; staffing remains tight on weekends. missing,staffing,negative,low,UnitManager
864,My pod keeps getting high acuity without help.,patient_load,negative,medium,UnitManager
401,Sharps were left unattended in the triage bay. again,safety,negative,high,Safety
821,Census is up and we don't have float support.,patient_load,neutral,medium,UnitManager
576,Could we get hands-on time with the new EHR features? much better,training,positive,low,HR
955,Morale is low; people are talking about leaving. problem,burnout,negative,medium,UnitManager
1203,Supervisor plays favorites on shift assignments. much better,supervisor_behavior,positive,low,HR
528,The portable monitor battery won't hold a charge. unsafe,equipment,negative,medium,UnitManager
683,"Per policy, we're supposed to double-check insulin with a second nurse.",policies,neutral,low,HR
37,Charge nurse floated again due to lack of coverage.,staffing,neutral,low,UnitManager
1158,Nobody told us the clinic was closing early. works well,communication,positive,low,UnitManager
1658,The charting took forever and I had to stay 30 minutes unpaid.,pay,negative,medium,Payroll
177,I was put on back-to-back nights and days unexpectedly.,scheduling,positive,low,Scheduling
917,I can't keep skipping breaks—this is burning me out. urgent,burnout,negative,medium,UnitManager
105,My shift was moved without notice on the schedule. much better,scheduling,positive,low,Scheduling
1372,I'm being treated differently because of my religion. problem,discrimination,negative,high,HR
334,Management announced changes during lunch with no Q&A.,management,neutral,medium,HR
852,I had 7 patients on days including two total cares. angry,patient_load,negative,medium,UnitManager
224,Direct deposit didn't hit this morning.,pay,neutral,medium,Payroll
851,Census is up and we don't have float support. broke,patient_load,negative,medium,UnitManager
1709,Things felt broken in our process today but no device failed.,workflow,negative,medium,UnitManager
1166,We didn't get the update about the new triage flow. frustrated,communication,negative,medium,UnitManager
1104,We didn't get the update about the new triage flow.,communication,neutral,low,UnitManager
229,My W-2 has an error with my address.,pay,neutral,medium,Payroll
616,Could we get hands-on time with the new EHR features?,training,positive,low,HR
445,Panic button didn't work during an incident with a combative visitor.,safety,negative,high,Safety
731,New barcode step adds clicks without improving safety.,workflow,neutral,low,UnitManager
306,Leadership keeps changing the rollout with no explanation. late,management,negative,medium,HR
1533,The vending machines keep eating our money. worried,other,negative,low,UnitManager
1426,I believe I received fewer training opportunities due to bias. problem,discrimination,negative,high,HR
795,The charting steps doubled after the update; forms feel redundant. unpaid,workflow,negative,medium,UnitManager
82,Overtime requests keep coming because the roster is thin. pleased,staffing,positive,low,UnitManager
286,Management announced changes during lunch with no Q&A. issue,management,negative,medium,HR
593,I'd like more training on the new wound vac device. thank you,training,positive,low,HR
1357,Comments were made about my background that felt discriminatory. unsafe,discrimination,negative,high,HR
